City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City ID
0,kirakira,-10.4544,161.9205,27.12,84,100,1.88,SB,2024-04-02,2178753
1,pangody,65.85,74.4859,0.15,98,100,8.69,RU,2024-04-02,1495626
2,chul'man,56.8479,124.9104,-6.37,92,99,4.85,RU,2024-04-02,2025261
3,nieuw amsterdam,5.8833,-55.0833,29.01,70,20,1.03,SR,2024-04-02,3383434
4,dudinka,69.4058,86.1778,-10.18,94,100,6.71,RU,2024-04-02,1507116
5,kill devil hills,36.0307,-75.676,19.61,81,0,5.66,US,2024-04-02,4474274
6,thompson,55.7435,-97.8558,2.09,64,100,1.03,CA,2024-04-02,6165406
7,bredasdorp,-34.5322,20.0403,15.99,88,49,1.43,ZA,2024-04-02,1015776
8,la ronge,55.1001,-105.2842,9.14,31,75,5.66,CA,2024-04-02,6050066
9,gushu,31.5598,118.4829,13.99,93,100,5.71,CN,2024-04-02,1813851
10,sungai raya,0.7,108.9,26.17,89,99,1.18,ID,2024-04-02,1625908
11,avarua,-21.2078,-159.775,29.03,65,40,3.6,CK,2024-04-02,4035715
12,trevelin,-43.0858,-71.4639,7.71,95,67,3.76,AR,2024-04-02,3833675
13,ushuaia,-54.8,-68.3,4.81,75,75,3.09,AR,2024-04-02,3833367
14,weno,7.4515,151.8468,29.97,84,100,4.12,FM,2024-04-02,2081114
15,grytviken,-54.2811,-36.5092,4.07,74,17,4.41,GS,2024-04-02,3426466
16,fort bragg,35.139,-79.006,26.4,54,0,4.12,US,2024-04-02,6941080
17,college,64.8569,-147.8028,-11.07,62,100,4.12,US,2024-04-02,5859699
18,camiri,-20.05,-63.5167,23.88,78,62,1.2,BO,2024-04-02,3922414
19,olonkinbyen,70.9221,-8.7187,-3.6,63,78,6.7,SJ,2024-04-02,7535941
20,port-aux-francais,-49.35,70.2167,6.92,79,89,13.05,TF,2024-04-02,1546102
21,jamestown,42.097,-79.2353,8.91,93,100,5.66,US,2024-04-02,5122534
22,bethel,41.3712,-73.414,6.04,86,100,3.09,US,2024-04-02,5282297
23,auki,-8.7676,160.7034,26.86,86,100,2.31,SB,2024-04-02,2109701
24,kamloops,50.6665,-120.3192,19.21,38,40,6.69,CA,2024-04-02,5989045
25,lompoc,34.6391,-120.4579,19.91,63,0,5.14,US,2024-04-02,5367788
26,atafu village,-8.5421,-172.5159,29.25,72,69,1.14,TK,2024-04-02,7522183
27,port alfred,-33.5906,26.891,16.21,87,71,0.45,ZA,2024-04-02,964432
28,puerto natales,-51.7236,-72.4875,3.55,76,25,4.26,CL,2024-04-02,3874958
29,saldanha,-33.0117,17.9442,15.03,85,100,6.25,ZA,2024-04-02,3361934
30,el burgo de osma,41.5862,-3.0652,7.66,76,81,3.87,ES,2024-04-02,3123622
31,myskhako,44.6714,37.7433,15.88,61,100,3.06,RU,2024-04-02,866241
32,talnakh,69.4865,88.3972,-12.59,80,100,4.54,RU,2024-04-02,1490256
33,sinnar,13.5691,33.5672,28.7,13,93,3.19,SD,2024-04-02,367644
34,punta arenas,-53.15,-70.9167,4.06,75,20,7.2,CL,2024-04-02,3874787
35,mahina,-17.5065,-149.489,30.87,66,0,3.09,PF,2024-04-02,4034307
36,west island,-12.1568,96.8225,26.99,83,40,4.63,CC,2024-04-02,7304591
37,blackmans bay,-43.0167,147.3167,11.06,65,74,1.79,AU,2024-04-02,2175527
38,arraial do cabo,-22.9661,-42.0278,22.98,94,0,2.06,BR,2024-04-02,3471451
39,isafjordur,66.0755,-23.124,-5.66,75,10,2.58,IS,2024-04-02,3415667
40,invercargill,-46.4,168.35,16.68,65,99,5.81,NZ,2024-04-02,2189529
41,waitangi,-43.9535,-176.5597,14.9,93,100,2.68,NZ,2024-04-02,4032804
42,northam,51.0333,-4.2167,11.4,96,93,8.56,GB,2024-04-02,2641434
43,adamstown,-25.066,-130.1015,23.93,72,65,12.3,PN,2024-04-02,4030723
44,realeza,-25.7689,-53.5325,26.55,51,51,1.19,BR,2024-04-02,3451783
45,sorong,-0.8833,131.25,26.69,86,90,3.72,ID,2024-04-02,1626542
46,mamuju,-2.6748,118.8885,26.34,86,100,1.14,ID,2024-04-02,1636556
47,barra,-11.0894,-43.1417,26.15,75,89,1.26,BR,2024-04-02,3470821
48,iqaluit,63.7506,-68.5145,-0.15,93,100,2.06,CA,2024-04-02,5983720
49,villa del rosario,7.8339,-72.4742,27.21,69,40,0.51,CO,2024-04-02,3665913
50,new norfolk,-42.7826,147.0587,11.95,68,58,1.36,AU,2024-04-02,2155415
51,taro,-8.3862,115.28,23.81,94,81,0.16,ID,2024-04-02,1622846
52,georgetown,5.4112,100.3354,26.09,89,20,1.54,MY,2024-04-02,1735106
53,san patricio,28.017,-97.5169,29.45,27,0,7.8,US,2024-04-02,4726521
54,edinburgh of the seven seas,-37.0676,-12.3116,15.67,77,89,7.06,SH,2024-04-02,3370726
55,phitsanulok,16.9167,100.5,25.06,49,42,2.12,TH,2024-04-02,1607707
56,albany,42.6001,-73.9662,5.3,82,100,0.89,US,2024-04-02,5106841
57,qaqortoq,60.7167,-46.0333,-7.56,86,0,1.71,GL,2024-04-02,3420846
58,minab,27.1467,57.0801,23.22,63,69,1.39,IR,2024-04-02,123941
59,oceanside,33.1959,-117.3795,20.57,66,0,4.63,US,2024-04-02,5378771
60,wailua homesteads,22.0669,-159.378,24.39,71,75,6.69,US,2024-04-02,7262802
61,saipan,15.1355,145.701,29.39,74,40,7.72,MP,2024-04-02,4041552
62,ilulissat,69.2167,-51.1,-3.99,86,75,0.0,GL,2024-04-02,3423146
63,port elizabeth,-33.918,25.5701,17.28,79,0,5.66,ZA,2024-04-02,964420
64,fale old settlement,-9.3852,-171.2468,29.3,72,76,1.38,TK,2024-04-02,4031110
65,inderbor,48.55,51.7833,10.18,59,4,4.17,KZ,2024-04-02,609798
66,ust-nera,64.5667,143.2,-13.89,86,68,1.05,RU,2024-04-02,2120048
67,papatowai,-46.5619,169.4708,15.47,63,100,1.45,NZ,2024-04-02,2185172
68,kingston,17.997,-76.7936,28.9,66,20,10.8,JM,2024-04-02,3489854
69,whitehorse,60.7161,-135.0538,3.19,40,75,3.09,CA,2024-04-02,6180550
70,mumford,5.2618,-0.759,27.94,84,100,4.07,GH,2024-04-02,2297810
71,mlimba,-8.8,35.8167,22.47,96,98,0.09,TZ,2024-04-02,153384
72,barranquilla,10.9639,-74.7964,27.88,74,20,7.2,CO,2024-04-02,3689147
73,fort st. john,56.2499,-120.8529,10.94,43,75,10.29,CA,2024-04-02,5955960
74,colonia,50.9333,6.95,10.49,85,75,3.09,DE,2024-04-02,2886242
75,labrador city,52.9463,-66.9114,0.1,68,100,3.09,CA,2024-04-02,5994839
76,atasu,48.6814,71.6433,0.72,93,58,3.57,KZ,2024-04-02,1526041
77,betio village,1.358,172.9211,28.02,77,77,3.65,KI,2024-04-02,2110248
78,siemiatycze,52.4272,22.8623,8.77,80,100,10.43,PL,2024-04-02,759320
79,embalenhle,-26.5333,29.0667,16.41,84,75,1.31,ZA,2024-04-02,1005646
80,poyarkovo,49.6,128.6833,1.13,72,69,2.87,RU,2024-04-02,2017705
81,san julian,21.0167,-102.1667,26.29,24,89,8.61,MX,2024-04-02,3985797
82,carnarvon,-24.8667,113.6333,27.95,42,55,8.31,AU,2024-04-02,2074865
83,tabas,33.5959,56.9244,14.74,29,2,0.9,IR,2024-04-02,113659
84,saltillo,25.4167,-101.0,22.54,25,0,7.6,MX,2024-04-02,3988086
85,dolinsk,47.35,142.8,0.96,63,12,3.6,RU,2024-04-02,2125945
86,ribeira grande,38.5167,-28.7,15.94,80,100,11.67,PT,2024-04-02,3372707
87,chibougamau,49.9168,-74.3659,1.79,48,0,4.63,CA,2024-04-02,5921147
88,corumba,-19.0092,-57.6533,28.02,68,67,0.88,BR,2024-04-02,3465342
89,hawaiian paradise park,19.5933,-154.9731,24.7,78,75,5.66,US,2024-04-02,5855809
90,alice springs,-23.7,133.8833,20.68,42,0,4.12,AU,2024-04-02,2077895
91,chake chake,-5.2459,39.7666,25.7,89,100,4.53,TZ,2024-04-02,160677
92,puerto armuelles,8.2833,-82.8667,28.94,54,25,0.45,PA,2024-04-02,3702431
93,playa del ingles,27.7567,-15.5787,18.0,81,8,3.2,ES,2024-04-02,6354969
94,marquelia,16.5833,-98.8167,28.31,65,67,5.12,MX,2024-04-02,3822029
95,crane,31.3974,-102.3501,19.62,20,83,7.1,US,2024-04-02,5519648
96,chonchi,-42.6128,-73.8092,7.51,89,96,2.84,CL,2024-04-02,3894871
97,huilong,31.8111,121.655,12.91,99,100,4.48,CN,2024-04-02,1806840
98,yeed,4.55,43.0333,28.73,61,98,5.55,SO,2024-04-02,49593
99,st. john's,47.5649,-52.7093,0.9,92,100,11.62,CA,2024-04-02,6324733
100,maryville,35.7565,-83.9705,24.69,56,100,7.2,US,2024-04-02,4639848
101,souillac,-20.5167,57.5167,26.21,73,75,6.69,MU,2024-04-02,933995
102,tolanaro,-25.0319,46.9987,23.04,88,75,3.09,MG,2024-04-02,1055433
103,phultala,22.7,89.5167,25.36,96,18,2.41,BD,2024-04-02,1191139
104,petauke,-14.2426,31.3253,18.2,81,53,2.65,ZM,2024-04-02,899825
105,margaret river,-33.95,115.0667,9.82,88,1,4.51,AU,2024-04-02,2066981
106,mahikeng,-25.8652,25.6442,18.99,59,71,3.09,ZA,2024-04-02,980595
107,klyuchi,52.2667,79.1667,0.32,98,92,2.83,RU,2024-04-02,1503153
108,howard springs,-12.497,131.047,27.75,93,79,3.74,AU,2024-04-02,6301965
109,phang nga,8.4509,98.5298,27.02,80,73,0.99,TH,2024-04-02,1151464
110,quellon,-43.1167,-73.6167,8.65,77,99,5.14,CL,2024-04-02,3874943
111,de aar,-30.6497,24.0123,17.25,34,7,3.28,ZA,2024-04-02,1011632
112,badger,64.8,-147.5333,-10.82,64,100,4.12,US,2024-04-02,5879898
113,touros,-5.1989,-35.4608,27.24,83,69,2.81,BR,2024-04-02,3386213
114,nar'yan-mar,67.6713,53.087,-16.61,91,5,4.92,RU,2024-04-02,523392
115,waingapu,-9.6567,120.2641,26.82,80,98,1.19,ID,2024-04-02,1622318
116,bandarbeyla,9.4942,50.8122,27.02,73,39,3.59,SO,2024-04-02,64814
117,santander,43.4647,-3.8044,14.81,68,0,1.34,ES,2024-04-02,3109718
118,qarazhal,48.0078,70.7903,2.66,92,26,2.54,KZ,2024-04-02,1519935
119,tiksi,71.6872,128.8694,-22.13,91,84,2.52,RU,2024-04-02,2015306
120,atlantis,-33.5667,18.4834,16.32,79,100,3.7,ZA,2024-04-02,3370352
121,longyearbyen,78.2186,15.6401,-17.09,71,75,5.14,SJ,2024-04-02,2729907
122,linqiong,30.4159,103.4609,16.9,74,100,2.01,CN,2024-04-02,1803365
123,san luis de la loma,17.2706,-100.8939,28.34,65,67,5.15,MX,2024-04-02,3993475
124,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,44,0,3.0,RU,2024-04-02,2122104
125,labytnangi,66.6572,66.4183,-11.01,82,47,8.0,RU,2024-04-02,1500933
126,istgah-e rah ahan-e garmsar,35.2346,52.3094,14.09,30,70,1.66,IR,2024-04-02,32723
127,taltal,-25.4,-70.4833,18.23,86,24,1.48,CL,2024-04-02,3870243
128,udachny,66.4167,112.4,-10.58,87,100,6.78,RU,2024-04-02,2014624
129,nizhnyaya poyma,56.1622,97.1933,-2.59,97,100,1.32,RU,2024-04-02,1497397
130,manggar,-2.8833,108.2667,27.33,82,64,1.13,ID,2024-04-02,1636426
131,bilibino,68.0546,166.4372,-16.58,65,5,0.99,RU,2024-04-02,2126682
132,island harbour,50.724,-1.2758,10.45,90,100,4.47,GB,2024-04-02,2639996
133,sabang,5.8933,95.3214,28.81,75,60,2.19,ID,2024-04-02,1214026
134,howrah,22.5892,88.3103,28.0,89,8,2.06,IN,2024-04-02,1270396
135,yei,4.095,30.6779,19.52,92,36,1.67,SS,2024-04-02,363619
136,anshun,26.25,105.9333,16.43,63,10,2.01,CN,2024-04-02,1817968
137,mount pearl,47.5166,-52.7813,0.41,92,100,10.8,CA,2024-04-02,6082231
138,maceio,-9.6658,-35.7353,27.69,89,20,2.06,BR,2024-04-02,3395981
139,kalevala,65.2,31.1667,-11.06,94,73,2.24,RU,2024-04-02,554318
140,puerto lempira,15.2667,-83.7667,28.94,64,57,5.63,HN,2024-04-02,3603157
141,lebu,-37.6167,-73.65,12.99,81,100,1.86,CL,2024-04-02,3883457
142,copiapo,-27.3667,-70.3333,21.11,58,0,2.13,CL,2024-04-02,3893656
143,key west,24.5557,-81.7826,26.78,76,20,5.14,US,2024-04-02,4160812
144,cedeira,43.6797,-8.0209,13.83,74,41,9.86,ES,2024-04-02,6357292
145,baturaja,-4.1333,104.1667,23.89,99,97,0.62,ID,2024-04-02,1649593
146,castillos,-34.1667,-53.8333,14.77,74,35,2.26,UY,2024-04-02,3443289
147,najran,17.4924,44.1277,19.36,69,96,0.47,SA,2024-04-02,103630
148,les anglais,18.3054,-74.2197,26.47,73,100,2.75,HT,2024-04-02,3722253
149,pauini,-7.7136,-66.9764,25.44,88,63,1.56,BR,2024-04-02,3662927
150,makueni boma,-1.8041,37.6203,18.61,96,99,0.38,KE,2024-04-02,188080
151,ordynskoye,54.3656,81.8994,0.5,93,99,1.46,RU,2024-04-02,1496100
152,santa cruz,-17.8,-63.1667,25.03,88,75,6.69,BO,2024-04-02,3904906
153,hermanus,-34.4187,19.2345,14.89,83,59,4.12,ZA,2024-04-02,3366880
154,puerto quijarro,-17.7833,-57.7667,29.44,64,100,1.13,BO,2024-04-02,3444201
155,hamilton,39.1834,-84.5333,18.08,92,100,4.12,US,2024-04-02,4513583
156,horta,38.5333,-28.6333,15.39,81,99,11.61,PT,2024-04-02,3372988
157,queenstown,-31.8976,26.8753,12.68,92,48,1.16,ZA,2024-04-02,963516
158,shortandy,51.7006,70.9994,-2.31,89,80,2.36,KZ,2024-04-02,1519050
159,aasiaat,68.7098,-52.8699,-9.56,91,87,1.93,GL,2024-04-02,3424901
160,tofol,5.3248,163.0078,30.88,70,100,7.2,FM,2024-04-02,2081342
161,bugul'ma,54.55,52.8,6.07,95,37,5.41,RU,2024-04-02,571170
162,shats'k,51.5021,23.9381,9.16,78,100,9.52,UA,2024-04-02,694333
163,miquelon,47.0975,-56.3814,2.0,80,86,7.61,PM,2024-04-02,3424941
164,kapuskasing,49.4169,-82.4331,7.0,29,75,5.66,CA,2024-04-02,5989403
165,egilsstadir,65.2653,-14.3948,-4.05,68,75,1.54,IS,2024-04-02,6354943
166,iskateley,67.6803,53.1512,-16.66,91,5,4.92,RU,2024-04-02,866062
167,puerto ayora,-0.7393,-90.3518,26.42,91,93,0.89,EC,2024-04-02,3652764
168,tabou,4.423,-7.3528,27.78,88,48,2.11,CI,2024-04-02,2281120
169,caluula,11.9661,50.7569,27.46,73,68,4.48,SO,2024-04-02,63081
170,kisangani,0.5167,25.2,20.81,97,100,1.17,CD,2024-04-02,212730
171,ivdel',60.6911,60.4206,5.57,97,100,2.68,RU,2024-04-02,1505260
172,boguchany,58.3814,97.4531,-3.97,95,98,1.34,RU,2024-04-02,1509844
173,kodiak,57.79,-152.4072,1.73,35,0,10.29,US,2024-04-02,5866583
174,pisco,-13.7,-76.2167,24.03,69,40,7.72,PE,2024-04-02,3932145
175,tangalle,6.024,80.7911,26.05,87,97,1.59,LK,2024-04-02,1227037
176,nazca,-14.8333,-74.95,25.15,57,77,2.72,PE,2024-04-02,3934356
177,uturoa,-16.7333,-151.4333,28.54,75,25,8.4,PF,2024-04-02,4033205
178,sandnessjoen,66.0217,12.6316,-9.71,67,11,5.1,NO,2024-04-02,3140301
179,hadibu,12.65,54.0333,26.21,77,92,2.39,YE,2024-04-02,75427
180,vorgashor,67.5833,63.95,-20.05,88,84,7.63,RU,2024-04-02,1486913
181,livingston,55.9029,-3.5226,5.97,99,100,4.63,GB,2024-04-02,2644204
182,stanley,54.868,-1.6985,6.26,94,100,1.54,GB,2024-04-02,8224783
183,ghanzi,-21.5667,21.7833,19.33,83,100,0.91,BW,2024-04-02,933759
184,azemmour,33.2895,-8.3425,14.53,79,7,2.56,MA,2024-04-02,2556657
185,lodja,-3.4833,23.4333,20.69,98,93,0.58,CD,2024-04-02,211647
186,lihue,21.9789,-159.3672,24.74,71,75,6.69,US,2024-04-02,5850248
187,nouadhibou,20.931,-17.0347,20.99,56,0,9.26,MR,2024-04-02,2377457
188,aral,40.5156,81.2636,9.85,36,18,2.92,CN,2024-04-02,1529641
189,kolonia,50.9333,6.95,10.49,85,75,3.09,DE,2024-04-02,2886242
190,carutapera,-1.195,-46.02,25.73,93,70,2.63,BR,2024-04-02,3402648
191,vila franca do campo,37.7167,-25.4333,18.27,99,90,9.01,PT,2024-04-02,3372472
192,codrington,-38.2667,141.9667,14.27,80,82,4.55,AU,2024-04-02,2171099
193,sechura,-5.5569,-80.8222,25.99,63,99,6.67,PE,2024-04-02,3691954
194,tocopilla,-22.092,-70.1979,20.4,77,6,0.27,CL,2024-04-02,3869716
195,mokhsogollokh,61.4681,128.9203,-9.32,93,92,3.48,RU,2024-04-02,2019867
196,tazacorte,28.629,-17.9293,17.86,89,0,3.13,ES,2024-04-02,6534196
197,enewetak,11.3474,162.3373,26.79,82,86,9.88,MH,2024-04-02,7306511
198,freetown,8.484,-13.2299,26.05,75,82,2.62,SL,2024-04-02,2409306
199,west bay,19.3667,-81.4167,28.43,78,20,4.63,KY,2024-04-02,3580477
200,port lincoln,-34.7333,135.8667,16.26,70,97,3.0,AU,2024-04-02,2063036
201,yamazakicho-nakabirose,35.0,134.55,12.97,97,100,3.17,JP,2024-04-02,1848633
202,puerto baquerizo moreno,-0.9,-89.6,25.53,78,81,3.76,EC,2024-04-02,3652758
203,ayabaca,-4.6398,-79.7149,8.55,95,100,0.62,PE,2024-04-02,3699502
204,beruniy,41.6911,60.7525,5.98,70,0,0.0,UZ,2024-04-02,1514387
205,nemuro,43.3236,145.575,1.71,66,1,3.55,JP,2024-04-02,2128975
206,kailua-kona,19.6406,-155.9956,26.32,81,0,5.14,US,2024-04-02,5847504
207,luderitz,-26.6481,15.1594,17.61,73,1,1.84,NA,2024-04-02,3355672
208,vilyuchinsk,52.9306,158.4028,3.15,76,100,3.49,RU,2024-04-02,2118647
209,waunakee,43.1919,-89.4557,0.59,95,100,7.72,US,2024-04-02,5278073
210,urengoy,65.9667,78.3667,-1.96,96,100,9.47,RU,2024-04-02,1488414
211,benguela,-12.5763,13.4055,26.28,84,85,2.35,AO,2024-04-02,3351663
212,igarka,67.4667,86.5833,-4.41,96,100,7.57,RU,2024-04-02,1505991
213,tarawa,1.419,172.984,28.05,94,75,5.14,KI,2024-04-02,7521611
214,shirvan,39.9509,48.8994,11.38,69,1,1.9,AZ,2024-04-02,409417
215,vilyuysk,63.7553,121.6247,-13.7,100,98,2.18,RU,2024-04-02,2013392
216,coquimbo,-29.9533,-71.3436,17.33,73,0,2.19,CL,2024-04-02,3893629
217,miri,4.4148,114.0089,25.08,100,20,1.03,MY,2024-04-02,1738050
218,puerto deseado,-47.7503,-65.8938,9.9,69,100,7.0,AR,2024-04-02,3840104
219,enriquillo,17.9,-71.2333,27.82,75,76,4.04,DO,2024-04-02,3505947
220,shobara,34.85,133.0167,11.47,97,100,2.72,JP,2024-04-02,1851713
221,callao,-12.0667,-77.15,24.16,64,0,6.17,PE,2024-04-02,3946083
222,port mathurin,-19.6833,63.4167,26.58,82,100,6.88,MU,2024-04-02,1545752
223,tura,25.5198,90.2201,20.42,73,39,2.25,IN,2024-04-02,1254046
224,east london,-33.0153,27.9116,18.55,71,15,3.27,ZA,2024-04-02,1006984
225,bonthe,7.5264,-12.505,26.06,86,43,3.28,SL,2024-04-02,2409914
226,constantia,44.1833,28.65,12.38,57,98,3.22,RO,2024-04-02,680963
227,gulf shores,30.246,-87.7008,22.52,81,100,4.12,US,2024-04-02,4065552
228,sao felix do xingu,-6.6447,-51.995,23.91,97,84,0.65,BR,2024-04-02,3388847
229,balqash,46.8481,74.995,3.43,79,10,3.32,KZ,2024-04-02,1525798
230,afaahiti,-17.75,-149.2833,29.93,76,62,8.01,PF,2024-04-02,4034745
231,bryne,58.7354,5.6477,4.5,92,100,3.09,NO,2024-04-02,3159822
232,ancud,-41.8697,-73.8203,10.32,76,67,6.97,CL,2024-04-02,3899695
233,gisborne,-38.6533,178.0042,19.95,57,5,2.07,NZ,2024-04-02,2206854
234,iwaki,37.05,140.8833,12.18,65,100,1.36,JP,2024-04-02,2112539
235,dunedin,-45.8742,170.5036,16.0,74,100,2.68,NZ,2024-04-02,2191562
236,laojunmiao,39.8333,97.7333,2.57,67,95,0.11,CN,2024-04-02,1280757
237,utrik,11.2278,169.8474,26.72,76,100,7.42,MH,2024-04-02,7306518
238,yellowknife,62.456,-114.3525,0.77,72,75,4.63,CA,2024-04-02,6185377
239,polyarnyy,69.1989,33.4478,-18.47,99,26,3.62,RU,2024-04-02,506763
240,danville,36.586,-79.395,26.88,52,20,3.09,US,2024-04-02,4755280
241,mount isa,-20.7333,139.5,25.87,57,24,6.17,AU,2024-04-02,2065594
242,kerikeri,-35.2268,173.9474,20.96,53,5,1.61,NZ,2024-04-02,2188874
243,huarmey,-10.0681,-78.1522,23.17,79,21,3.85,PE,2024-04-02,3939168
244,uray,60.1247,64.7758,1.6,94,100,4.92,RU,2024-04-02,1488429
245,beeville,28.4008,-97.7483,28.1,13,0,6.69,US,2024-04-02,4673258
246,namibe,-15.1961,12.1522,23.44,75,29,3.34,AO,2024-04-02,3347019
247,geraldton,-28.7667,114.6,23.23,38,75,4.63,AU,2024-04-02,2070998
248,cidreira,-30.1811,-50.2056,21.27,82,90,3.53,BR,2024-04-02,3466165
249,holbrook,40.8123,-73.0784,6.03,93,100,6.69,US,2024-04-02,5120987
250,lisala,2.15,21.5167,21.93,98,84,0.37,CD,2024-04-02,211734
251,susuman,62.7833,148.1667,-18.34,79,8,1.34,RU,2024-04-02,2120864
252,evanston,42.0411,-87.6901,3.85,88,75,10.29,US,2024-04-02,4891382
253,portland,45.5234,-122.6762,23.71,38,0,2.68,US,2024-04-02,5746545
254,zeya,53.75,127.2667,-2.51,77,96,2.19,RU,2024-04-02,2012593
255,ola,59.5833,151.2833,-6.89,65,1,3.45,RU,2024-04-02,2122574
256,cootamundra,-34.65,148.0333,17.19,65,0,2.34,AU,2024-04-02,2170430
257,concepcion,-36.827,-73.0498,14.89,77,75,1.03,CL,2024-04-02,3893894
258,chaparral,3.7232,-75.4832,23.07,88,100,0.3,CO,2024-04-02,3686793
259,nizhneangarsk,55.7833,109.55,-15.0,88,17,1.79,RU,2024-04-02,2019199
260,buchanan,5.8808,-10.0467,27.12,91,63,2.82,LR,2024-04-02,2278158
261,effingham,32.3669,-81.3332,25.29,66,87,2.7,US,2024-04-02,4193042
262,lazaro cardenas,17.9583,-102.2,26.89,69,96,5.81,MX,2024-04-02,4026082
263,nagqu,31.5,92.0,-3.08,52,93,2.72,CN,2024-04-02,1280517
264,rio grande,-32.035,-52.0986,20.06,68,57,3.98,BR,2024-04-02,3451138
265,iisalmi,63.5592,27.1907,-5.68,89,100,4.39,FI,2024-04-02,656820
266,onega,63.9061,38.1404,-5.83,69,100,5.37,RU,2024-04-02,515246
267,kinkala,-4.3614,14.7644,23.24,88,84,1.05,CG,2024-04-02,2258984
268,greenville,35.6127,-77.3663,26.97,53,0,3.6,US,2024-04-02,4469160
269,ismailia,30.6043,32.2723,19.03,70,0,2.72,EG,2024-04-02,361055
270,luwuk,-0.9516,122.7875,27.28,79,96,0.95,ID,2024-04-02,1637001
271,haiku-pauwela,20.9219,-156.3051,24.34,69,40,12.35,US,2024-04-02,7262697
272,bubaque,11.2833,-15.8333,24.72,73,26,9.23,GW,2024-04-02,2374583
273,hatillo,18.4863,-66.8254,25.79,80,43,3.58,PR,2024-04-02,4565346
274,dame-marie,18.5667,-74.4167,26.04,72,100,1.63,HT,2024-04-02,3727055
275,ta`u,-14.2336,-169.5144,29.1,79,100,7.52,AS,2024-04-02,5881165
276,tchintabaraden,15.8969,5.7985,30.94,8,95,4.78,NE,2024-04-02,2438974
277,sulak,43.2734,47.5146,12.29,85,0,8.93,RU,2024-04-02,486398
278,hozat,39.1083,39.2213,10.6,51,2,1.41,TR,2024-04-02,311869
279,guiuan,11.0333,125.7247,27.3,78,38,4.69,PH,2024-04-02,1712206
280,arawa,-6.2132,155.5367,29.04,79,57,2.88,PG,2024-04-02,2100633
281,remire-montjoly,4.9167,-52.2667,28.02,83,75,1.54,GF,2024-04-02,3380892
